kepid,error
9159265,"KIC 9159265: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr009159265_lc_Q011111111111111111\kplr009159265-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
4664046,"KIC 4664046: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr004664046_lc_Q011111011101110111\kplr004664046-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
6706287,"KIC 6706287: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr006706287_lc_Q011111111111111111\kplr006706287-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
4935914,"KIC 4935914: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr004935914_lc_Q000000011100000000\kplr004935914-2010355172524_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
9025922,KIC 9025922: download error: ValueError: I/O operation on closed file.
10125352,KIC 10125352: download error: ValueError: I/O operation on closed file.
6307063,KIC 6307063: download error: ValueError: I/O operation on closed file.
6057684,KIC 6057684: download error: ValueError: I/O operation on closed file.
5796185,KIC 5796185: download error: ValueError: I/O operation on closed file.
4917014,"KIC 4917014: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr004917014_lc_Q111111111111111111\kplr004917014-2009131105131_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
8479107,KIC 8479107: download error: ValueError: I/O operation on closed file.
3230206,"KIC 3230206: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr003230206_lc_Q011111111111111111\kplr003230206-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
5470960,"KIC 5470960: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr005470960_lc_Q001111111111111111\kplr005470960-2009259160929_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
5474733,"KIC 5474733: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr005474733_lc_Q011111111111111111\kplr005474733-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
4150539,"KIC 4150539: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr004150539_lc_Q011111111111111111\kplr004150539-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
12004680,"KIC 12004680: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr012004680_lc_Q011111110111011101\kplr012004680-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
11392017,"KIC 11392017: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr011392017_lc_Q111111110111011101\kplr011392017-2009131105131_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
4386059,"KIC 4386059: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr004386059_lc_Q001111011101110111\kplr004386059-2009259160929_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
9159242,"KIC 9159242: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr009159242_lc_Q011111111111111111\kplr009159242-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
8652360,"KIC 8652360: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr008652360_lc_Q011111111111111111\kplr008652360-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
2015013,"KIC 2015013: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr002015013_lc_Q111111111111111111\kplr002015013-2009131105131_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
4165960,"KIC 4165960: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr004165960_lc_Q011111011101110111\kplr004165960-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
3541800,"KIC 3541800: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr003541800_lc_Q011111111111111111\kplr003541800-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
7598111,"KIC 7598111: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr007598111_lc_Q011111111111111111\kplr007598111-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
